id,name,type,address,city,postal,state,lat,lon,profile_url,meta_power_totalmw,meta_power_ups_redundancy,meta_power_cooling_redundancy,meta_power_standby_redundancy,meta_building_floors,meta_building_floor_load,meta_building_area_building,meta_building_rooftop_access,meta_building_area_whitespace,meta_building_year_operational,meta_capacity_mw_builtout,meta_capacity_buildingsize,meta_capacity_mw_referenced,meta_capacity_whitespace_builtout,meta_capacity_whitespace_referenced,meta_security_cctv,meta_security_staff,meta_security_guards,meta_security_keycard,meta_security_biometric,meta_amenities_meetmeroom,meta_standards_pci,meta_standards_soc2,meta_standards_soc3,meta_standards_hipaa,meta_standards_iso27001,meta_standards_nist80053,meta_standards_usgbc_leed,meta_standards_tier_designed,meta_security_mantrap,meta_security_firesupression,meta_security_firesupression_text,meta_amenities_loadingbay,meta_amenities_officespace,meta_amenities_conferenceroom,meta_standards_soc1,meta_standards_isae3402,meta_building_expandable,meta_building_construction,meta_building_tenancy_text,meta_standards_sas70,meta_standards_ssae16,meta_standards_tier_certified,meta_power_pue,meta_power_billing,meta_power_kw_rack,meta_power_renewable,meta_building_floor_type,meta_building_year_upgraded,meta_building_ceiling_height,meta_security_controlled_perimeter,meta_amenities_wifi,meta_amenities_breakroom,meta_amenities_crashcarts,meta_amenities_parking_text,meta_power_cooling_text,meta_power_standby_text,meta_amenities_loanertools,meta_standards_fisma,meta_standards_iso9001,meta_standards_iso22301,meta_standards_iso50001,meta_building_area_plot,meta_power_kw_area,meta_capacity_mw_live,meta_standards_fedramp,meta_standards_ssae18
968,600 West 7th Street (LAX10),Colocation,600 West 7th Street,Los Angeles,90017,California,34.047322,-118.2574494,https://www.datacentermap.com/usa/california/los-angeles/600-west-7th-street/,9,2N,N+1,N+1,7,125,490000,1.0,70300,1934,9,490000.0,9,70300.0,70300.0,1.0,"Yes, 24/7","Yes, 24/7",1.0,1.0,1.0,2,2,2,0,1,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,2260 E El Segundo Blvd (LAX12),Colocation,2260 East El Segundo Boulevard,El Segundo,90245,California,33.9156347,-118.3846072,https://www.datacentermap.com/usa/california/los-angeles/2260-e-el-segundo/,7.1,N+1,N+1,N+1,2,150,132000,1.0,66800,1979,7.1,132000.0,7.1,66800.0,66800.0,1.0,,"Yes, 24/7",1.0,1.0,1.0,2,2,2,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8859,Centersquare - Los Angeles LAX5-A,Colocation,2681 Kelvin Ave,Irvine,92614,California,33.6846747,-117.8368209,https://www.datacentermap.com/usa/california/los-angeles/evoque-lax2/,15,N+1,N,N+1,,,150000,,66500,,15,150000.0,15,66500.0,66500.0,1.0,,"Yes, 24/7",1.0,1.0,,2,2,1,,1,,,3,1.0,1.0,VESDA smoke detection; Data Center Areas: Pre-action dry pipe,1.0,1.0,1.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6386,Hivelocity - Los Angeles 2,Colocation,600 W. 7th St,Los Angeles,90017,California,34.047322,-118.2574494,https://www.datacentermap.com/usa/california/los-angeles/la2/,,2N,N+1,N+1,,,,1.0,,2000,10,,10,490000.0,490000.0,1.0,,"Yes, 24/7",1.0,1.0,0.0,2,2,,1,,,,4,,1.0,Dual interlock dry pipe fire suppression with VESDA,,,,2,,1.0,Retrofitted,Multi-tenant (data centers only),2,2,4.0,,,,,,,,,,,,,,,,,,,,,,,,
5420,Hivelocity - Los Angeles 1,Colocation,624 S Grand Ave,Los Angeles,90017,California,34.047966,-118.25557,https://www.datacentermap.com/usa/california/los-angeles/rackalley-la1/,,2N,N+1,N+1,,,,,,,,,,,,1.0,,"Yes, 24/7",1.0,1.0,0.0,2,2,,1,,,,,1.0,1.0,Dual interlock dry pipe fire suppression with VESDA,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2046,Colocation America LADC3,Colocation,600 W. 7th St,Los Angeles,90017,California,34.047308,-118.257093,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-600w-7th/,27,,N+1,,,,500000,,67000,,27,500000.0,27,67000.0,67000.0,1.0,,"Yes, 24/7",,,0.0,2,,,1,,,,3,,,,,,,,,,,,2,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
929,West 7 Center,Building,1200 West 7th Street,Los Angeles,90017,California,34.051484,-118.265757,https://www.datacentermap.com/usa/california/los-angeles/the-garland-building/,16.9,N+1,N+2,N+1,3,2000,375000,1.0,150000,2016,16.9,375000.0,16.9,150000.0,150000.0,1.0,"Yes, 24/7","Yes, 24/7",1.0,1.0,1.0,,,,,,,,3,,1.0,,1.0,1.0,1.0,,,1.0,Retrofitted,Multi-tenant (data centers only),,,,1.25,Per kWh,16,No,Mixed,2023.0,16.0,1.0,1.0,1.0,1.0,Yes,,,,,,,,,,,,
1048,Equinix LA2,Colocation,818 W 7th Street,Los Angeles,90017,California,34.0488973,-118.2595846,https://www.datacentermap.com/usa/california/los-angeles/equinix-los-angeles2/,,2N,N+1,N+1,8,125,,,13820,,,,,13820.0,13820.0,1.0,"Yes, 24/7","Yes, 24/7",,1.0,,2,2,,1,1,1,,,1.0,,"Double-interlocked, pre-action (dry pipe)",,,1.0,2,,,,,,,,,,,,Solid Floor,,,,1.0,1.0,1.0,Adjacent to building (no fee),Air-cooled chillers and CRAC units,"2 x 1,250 kW diesel generators",1.0,1,0,1,1,,,,,
9598,Prime Los Angeles,Colocation,4701 S Santa Fe Ave,Vernon,90058,California,34.0011773,-118.2309309,https://www.datacentermap.com/usa/california/los-angeles/prime-los-angeles/,33,N+1,N+1,N+1,3,,242495,,110310,2024,33,242495.0,33,110310.0,110310.0,1.0,"Yes, 24/7","Yes, 24/7",1.0,1.0,1.0,,2,,,1,,,3,1.0,1.0,,1.0,1.0,1.0,,,,Purpose-built,Multi-tenant (data centers only),,,,1.25,,,,Solid Floor,,,1.0,1.0,1.0,1.0,Yes,,,1.0,,,,,84942.0,,,,
3948,One Wilshire,Building,624 South Grand Avenue,Los Angeles,90017,California,34.047966,-118.25557,https://www.datacentermap.com/usa/california/los-angeles/one-wilshire-building/,32,,,,30,,662000,,,1966,32,662000.0,32,,,,,"Yes, 24/7",,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,10 on site diesel powered generators,,,,,,,,,,
