id,name,company,type,address,city,postal,state,lat,lon,profile_url
968,600 West 7th Street (LAX10),Digital Realty,Colocation,600 West 7th Street,Los Angeles,90017,California,34.047322,-118.2574494,https://www.datacentermap.com/usa/california/los-angeles/600-west-7th-street/
768,2260 E El Segundo Blvd (LAX12),Digital Realty,Colocation,2260 East El Segundo Boulevard,El Segundo,90245,California,33.9156347,-118.3846072,https://www.datacentermap.com/usa/california/los-angeles/2260-e-el-segundo/
8859,Centersquare - Los Angeles LAX5-A,Centersquare,Colocation,2681 Kelvin Ave,Irvine,92614,California,33.6846747,-117.8368209,https://www.datacentermap.com/usa/california/los-angeles/evoque-lax2/
6386,Hivelocity - Los Angeles 2,Hivelocity,Colocation,600 W. 7th St,Los Angeles,90017,California,34.047322,-118.2574494,https://www.datacentermap.com/usa/california/los-angeles/la2/
5420,Hivelocity - Los Angeles 1,Hivelocity,Colocation,624 S Grand Ave,Los Angeles,90017,California,34.047966,-118.25557,https://www.datacentermap.com/usa/california/los-angeles/rackalley-la1/
2046,Colocation America LADC3,Colocation America,Colocation,600 W. 7th St,Los Angeles,90017,California,34.047308,-118.257093,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-600w-7th/
929,West 7 Center,Rising Realty Partners,Building,1200 West 7th Street,Los Angeles,90017,California,34.051484,-118.265757,https://www.datacentermap.com/usa/california/los-angeles/the-garland-building/
1048,Equinix LA2,Equinix,Colocation,818 W 7th Street,Los Angeles,90017,California,34.0488973,-118.2595846,https://www.datacentermap.com/usa/california/los-angeles/equinix-los-angeles2/
9598,Prime Los Angeles,Prime Data Centers,Colocation,4701 S Santa Fe Ave,Vernon,90058,California,34.0011773,-118.2309309,https://www.datacentermap.com/usa/california/los-angeles/prime-los-angeles/
3948,One Wilshire,GI Property Management,Building,624 South Grand Avenue,Los Angeles,90017,California,34.047966,-118.25557,https://www.datacentermap.com/usa/california/los-angeles/one-wilshire-building/
2060,Colocation America LADC4,Colocation America,Colocation,530 W. 6th St,Los Angeles,90017,California,34.048282,-118.254504,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-telecom-center/
1674,Cogent Data Center - Los Angeles,"Cogent Communications, Inc.",Colocation,530 W 6th St,Los Angeles,90017,California,34.048282,-118.254504,https://www.datacentermap.com/usa/california/los-angeles/cogent-los-angeles/
713,Converge Technology Solutions Data Center,Converge Technology Solutions,Colocation,30077 Agoura Ct,Agoura Hills,91301,California,34.145228,-118.776969,https://www.datacentermap.com/usa/california/los-angeles/is-west-agoura-ct/
3730,Cogent Data Center - Pasadena,"Cogent Communications, Inc.",Colocation,2947  Bradley Street,Pasadena,91107,California,34.167484,-118.088075,https://www.datacentermap.com/usa/california/los-angeles/cogent-pasadena/
2090,Colocation America LADC5,Colocation America,Colocation,650 S. Grand Ave,Los Angeles,90017,California,34.048721,-118.255266,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-quinby/
2045,Colocation America LADC2,Colocation America,Colocation,707 Wilshire Blvd,Los Angeles,90017,California,34.049227,-118.256979,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-aon-center/
1619,Alchemy Downtown Data Center,"Dynascale, Inc.",Colocation,1200 West 7th Street,Los Angeles,90017,California,34.051077,-118.2658418,https://www.datacentermap.com/usa/california/los-angeles/downtown-data-center/
9169,DataBank LAX1 - Los Angeles One Wilshire,DataBank,Colocation,624 South Grand Avenue,Los Angeles,90017,California,34.0479,-118.25552,https://www.datacentermap.com/usa/california/los-angeles/databank-lax1/
9052,Equinix LA7,Equinix,Colocation,1501 Francisco Street,Torrance,90501,California,33.85071,-118.30411,https://www.datacentermap.com/usa/california/los-angeles/equinix-la7/
9051,Equinix LA3,Equinix,Colocation,1920 E Maple Ave,El Segundo,90245,California,33.92608,-118.39412,https://www.datacentermap.com/usa/california/los-angeles/equinix-la3/
3582,Serverfarm LAX1,Serverfarm,Colocation,444 North Nash Street,El Segundo,90245,California,33.921778,-118.38632,https://www.datacentermap.com/usa/california/los-angeles/t5-el-segundo/
3762,Evocative LAX14,Evocative Data Centers,Colocation,3690 Redondo Beach Avenue,Redondo Beach,90278,California,33.889081,-118.368877,https://www.datacentermap.com/usa/california/los-angeles/internap-los-angeles/
11611,UnitedLayer Los Angeles,"UnitedLayer, Inc.",Colocation,624 S Grand Ave,Los Angeles,90017,California,34.0479477,-118.2553576,https://www.datacentermap.com/usa/california/los-angeles/unitedlayer-los-angeles/
1027,CoreSite One Wilshire (LA1),CoreSite,Colocation,624 South Grand Avenue,Los Angeles,90017,California,34.049464,-118.254579,https://www.datacentermap.com/usa/california/los-angeles/one-wilshire/
1035,CoreSite Los Angeles (LA2),CoreSite,Colocation,900 North Alameda,Los Angeles,90017,California,34.058656,-118.236954,https://www.datacentermap.com/usa/california/los-angeles/wilshire-annex/
1507,Equinix LA1,Equinix,Colocation,600 West 7th Street,Los Angeles,90017,California,34.051484,-118.265757,https://www.datacentermap.com/usa/california/los-angeles/switch-data-los-angeles/
4926,Xfernet Data Center,Xfernet,Colocation,3250 Wilshire Blvd,Koreatown,90010,California,34.0613935,-118.2931958,https://www.datacentermap.com/usa/california/los-angeles/xfernet-data-center/
5050,Psychz Los Angeles,Psychz Networks,Colocation,700 Wilshire Blvd,Los Angeles,90017,California,34.04867,-118.257536,https://www.datacentermap.com/usa/california/los-angeles/psla-data-center/
7091,Evocative LAX2,Evocative Data Centers,Colocation,600 W 7th Street,Los Angeles,90017,California,34.04725468212268,-118.257372379303,https://www.datacentermap.com/usa/california/los-angeles/la2-los-angles-evocative-dc/
7610,ColoCrossing LA1,ColoCrossing,Colocation,1200 W 7th Street,Los Angeles,90017,California,34.0511103,-118.2659241,https://www.datacentermap.com/usa/california/los-angeles/colocrossing-la1/
7794,Cogent Data Center - La Mirada,"Cogent Communications, Inc.",Colocation,16680 Valley View Avenue,La Mirada,90638,California,33.87975939558614,-118.0267133828582,https://www.datacentermap.com/usa/california/los-angeles/cogent-la-mirada/
1560,TELEHOUSE Los Angeles Center,Telehouse America,Colocation,626 Wilshire Boulevard,Los Angeles,90017,California,34.048138,-118.256277,https://www.datacentermap.com/usa/california/los-angeles/telehouse-los-angeles/
1602,Crown Castle Los Angeles LA1,CROWN CASTLE,Colocation,624 S Grand Ave,Los Angeles,90017,California,34.051484,-118.265757,https://www.datacentermap.com/usa/california/los-angeles/ix2-networks/
2553,QuadraNet Los Angeles,QuadraNet.com,Colocation,530 W. 6th St.,Los Angeles,90014,California,34.048282,-118.254504,https://www.datacentermap.com/usa/california/los-angeles/quadranet-los-angeles/
3661,Centersquare - Los Angeles LAX2,Centersquare,Colocation,3015 Winona Avenue,Burbank,91504,California,34.19985587540762,-118.3438038825989,https://www.datacentermap.com/usa/california/los-angeles/cyxtera-lax2a/
3298,One Data Center Ontario,One Data Center America,Colocation,350 S Milliken Ave,Ontario,91761,California,34.060043,-117.559722,https://www.datacentermap.com/usa/california/los-angeles/ontario-datacenter/
2774,Subrigo - 650 South Grand,Subrigo,Colocation,650 South Grand Avenue,Los Angeles,90017,California,34.048721,-118.255266,https://www.datacentermap.com/usa/california/los-angeles/downtown-colo-corporation/
10363,Cogent Data Center - Burbank,"Cogent Communications, Inc.",Colocation,100 S Flower St,Burbank,91502,California,34.1774244,-118.3114458,https://www.datacentermap.com/usa/california/los-angeles/cogent-data-center-burbank/
1675,Crown Castle Los Angeles LA2,CROWN CASTLE,Colocation,609 W 7th St,Los Angeles,90017,California,34.048282,-118.254504,https://www.datacentermap.com/usa/california/los-angeles/ix2-networks-530-w-6th/
2047,Aon Center,Shorenstein,Building,707 Wilshire Boulevard,Los Angeles,90017,California,34.049227,-118.256979,https://www.datacentermap.com/usa/california/los-angeles/aon-center-la/
13895,Goodman LAX01,Goodman,Colocation,3094 E Vernon Ave,Vernon,90058,California,34.0052025,-118.2180949,https://www.datacentermap.com/usa/california/los-angeles/goodman-lax01/
9985,Colocation America LADC1,Colocation America,Colocation,624 South Grand Avenue,Los Angeles,90017,California,34.0479477,-118.2553576,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-ladc1/
7944,CoreSite Los Angeles (LA3),CoreSite,Colocation,260 Bauchet St.,Los Angeles,90012,California,34.0593156,-118.2354621,https://www.datacentermap.com/usa/california/los-angeles/coresite-los-angeles-la3/
